name,milliseconds
Concerto No. 1 in E Major, RV 269 "Spring": I. Allegro,199086
Elza,199105
O Pulso,199131
Take the Box,199160
Foxy Lady,199340
The Last Song,199523
Jungle Drums,199627
Assum Preto,199653
Running Free,199706
London Calling,199706
Menestrel Das Alagoas,199758
C.O.D.,199836
Near Wild Heaven,199862
Love Comes,199923
Alabama Song,200097
Purgatory,200150
F**k Me Pumps,200253
Why Go,200254
Ice Cream Man,200306
Coroné Antonio Bento,200437
Summertime,200437
Último Pau-De-Arara,200437
The Wind Cries Mary,200463
Over Again,200489
Rock Bottom,200594
All My Love,200620
Posso Até Me Apaixonar,200698
Question!,200698
Cold Day In The Sun,200724
Too Fast For Love,200829
O Cidadão Do Mundo,200933
The Full Bug,201116
Immigrant Song,201247
How High The Moon,201430
Lady Double Dealer,201482
Showcase,201560
Love Me Darlin',201586
Rappers Reais,202004
Always With Me, Always With You,202035
Today,202213
Grito De Alerta,202213
Giz,202213
Fly By Night,202318
You Know I'm No Good (feat. Ghostface Killah),202320
Who Can It Be Now?,202396
Slide It In,202475
Um Contrato Com Deus,202501
From Out Of Nowhere,202527
Everlasting Love,202631
Mão Na Cabeça,202631
Saber Amar,202788
It's So Easy,202824
Perfect,203023
Another Life,203049
Snowballed,203102
Invaders,203180
Shotgun Blues,203206
Maluco Beleza,203206
Talk About The Passion,203206
Little Dreamer,203258
Mil Pedaços,203337
Fast And Loose,203337
San Francisco Bay Blues,203363
Nebulosa Do Amor,203415
Do Nosso Amor,203415
My Love,203493
Dança Da Solidão,203520
Love Me Like A Reptile,203546
Double Talkin' Jive,203637
Senhora E Senhor,203702
You Can't Do it Right (With the One You Love),203755
Meninos E Meninas,203781
Star A.D.,203807
Homely Girl,203833
Theme From The Swan,203911
Loves Been Good To Me,203964
She'll Never Be Your Man,204078
Rock And Roll Is Dead,204199
Boogie Blues,204199
Body Count's In The House,204251
Collision,204303
Be Quick Or Be Dead,204512
Lanterna Dos Afogados,204538
Running Free,204617
The Seeker,204643
Fat Bottomed Girls,204695
Qui Nem Jiló,204695
Fireball,204721
Leave My Girl Alone,204721
Driver 8,204747
October Song,204846
Evil Woman,204930
Canto De Ossanha,204956
Ito Okashi,205087
Temptation,205087
Temptation,205244
I Can't Explain,205332
Dig-Dig, Lambe-Lambe (Ao Vivo),205479
Por Você,205557
Road Trippin',205635
Put The Finger On You,205662
Corcovado (Quiet Nights Of Quiet Stars),205662
Caso Você Queira Saber,205688
Night Of The Long Knives,205688
Any Colour You Like,205740
You Got Me Rocking,205766
The Green Manalishi,205792
Give Me Novacaine,205871
Sad Statue,205897
Hemp Family,205923
Your Soul Today,205959
New York, New York,206001
Protesto Do Olodum (Ao Vivo),206001
Koyaanisqatsi,206005
Diamante De Mendigo,206053
Exploder,206053
Sun And Steel,206367
Anything Goes,206400
My Melancholy Blues,206471
Nosso Adeus,206471
Vai Valer,206524
If You Don't Know Me By Now,206524
Hypnotize,206628
Reggae Tchan,206654
Você Passa, Eu Acho Graça (Ao Vivo),206733
Bate Lata,206733
Noite Negra,206811
Smokin' in The Boys Room,206837
O Erê,206942
Secrets,206968
Glorified G,206968
Começaria Tudo Outra Vez (Maria Creuza),206994
Hard To Handle,206994
Minha Fé,206994
Espere Por Mim, Morena,207072
Um Homem Também Chora (Guerreiro Menino),207229
Plaster Caster,207333
Sheer Heart Attack,207386
Berlim,207542
(I Can't Help) Falling In Love With You,207568
Springsville,207725
Before You Accuse Me,207804
Insensível,207830
Sincero Breu,208013
Satisfação,208065
Swing Low Sweet Chariot,208143
Criança De Domingo,208222
Melô Do Marinheiro,208352
Breed,208378
Meu Erro,208431
Half A World Away,208431
Borogodo,208457
Perfect Circle,208509
On Mercury,208509
Domingo,208613
Flower,208822
Unchained,208953
De Noite Na Cama,209005
Circles,209071
Toda Cor,209084
As Pegadas Do Amor,209136
P.S.Apareça,209188
World Wide Suicide,209188
The Gentle Art Of Making Enemies,209319
Cuitelinho,209397
Departure,209423
Celebration Day,209528
What Is It About Men,209573
Miracle,209684
Balanço,209737
Leila (Venha Ser Feliz),209737
Shape The Sky,209789
Lookin' For A Reason,209789
She Loves Me Not,209867
Miles Ahead,209893
Last Caress/Green Hell,209972
Garotas do Brasil,210155
Maracatu Atômico [Ragga Mix],210155
Vital E Sua Moto,210207
Into The Fire,210259
Hang 'Em High,210259
Hey Joe,210259
Nobody Told Me,210348
Porch,210520
Jamie's Cryin',210546
Reboladeira,210599
Assim Caminha A Humanidade,210755
I've Got You Under My Skin,210808
Inject The Venom,210834
Gonna Give Her All The Love I've Got,210886
Can I Play With Madness,211043
Eu Também Quero Beijar,211147
Scentless Apprentice,211200
Caleidoscópio,211330
Violent Pornography,211435
Cartao Postal,211565
Fato Consumado,211565
Are You Gonna Go My Way,211591
Amar É Tudo,211617
Pot-Pourri N.º 2,211748
